Название,Жанр,Картинка,Ссылка,Рейтинг
Лабиринт Фавна,детектив,https://www.kinonews.ru//insimgs/poster/poster1849_3_prev.jpg,https://www.kinonews.ru//movie_11679/el-laberinto-del-fauno,8.55
Непрощенный,вестерн,https://www.kinonews.ru//insimgs/poster/poster12953_1_prev.jpg,https://www.kinonews.ru//movie_711/unforgiven,8.61
Старикам тут не место,драма,https://www.kinonews.ru//insimgs/poster/poster2532_7_prev.jpg,https://www.kinonews.ru//movie_1661/no-country-for-old-men,8.33
Игры разума,биографический,https://www.kinonews.ru//insimgs/poster/poster2935_2_prev.jpg,https://www.kinonews.ru//movie_3233/a-beautiful-mind,8.85
Нечто,детектив,https://www.kinonews.ru//insimgs/poster/poster6245_4_prev.jpg,https://www.kinonews.ru//movie_12034/the-thing,8.78
Убить Билла,боевик,https://www.kinonews.ru//insimgs/poster/poster3317_5_prev.jpg,https://www.kinonews.ru//movie_4178/kill-bill-vol-1,8.22
Сокровища Сьерра Мадре,боевик,https://www.kinonews.ru//insimgs/poster/poster18622_2_prev.jpg,https://www.kinonews.ru//movie_60418/the-treasure-of-the-sierra-madre,8.77
Телохранитель,боевик,https://www.kinonews.ru//insimgs/poster/poster28111_1_p.jpg,https://www.kinonews.ru//movie_18841/yojimbo,8.50
Монти Пайтон и священный Грааль,комедия,https://www.kinonews.ru//insimgs/poster/poster25909_3_p.jpg,https://www.kinonews.ru//movie_5478/monty-python-and-the-holy-grail,7.75
Большой побег,военный,https://www.kinonews.ru//insimgs/poster/poster17172_2_prev.jpg,https://www.kinonews.ru//movie_29117/the-great-escape,8.09
В поисках Немо,детский,https://www.kinonews.ru//insimgs/poster/poster22465_2_p.jpg,https://www.kinonews.ru//movie_3790/finding-nemo,8.61
Пленницы,детектив,https://www.kinonews.ru//insimgs/poster/poster35814_1_p.jpg,https://www.kinonews.ru//movie_151507/prisoners,8.11
Ходячий замок,аниме,https://www.kinonews.ru//insimgs/poster/poster3177_4_prev.jpg,https://www.kinonews.ru//movie_24133/hauru-no-ugoku-shiro,8.47
Расемон,драма,https://www.kinonews.ru//insimgs/poster/poster28885_5_p.jpg,https://www.kinonews.ru//movie_18862/rashomon,8.00
Человек-слон,биографический,https://www.kinonews.ru//insimgs/poster/poster28322_1_p.jpg,https://www.kinonews.ru//movie_4542/the-elephant-man,8.81
"В случае убийства набирайте ""М""",криминал,https://www.kinonews.ru//insimgs/poster/poster29730_13_p.jpg,https://www.kinonews.ru//movie_34143/dial-m-for-murder,8.19
Китайский квартал,детектив,https://www.kinonews.ru//insimgs/poster/poster14226_5_prev.jpg,https://www.kinonews.ru//movie_2688/chinatown,8.46
Унесенные ветром,военный,https://www.kinonews.ru//insimgs/poster/poster10523_12_prev.jpg,https://www.kinonews.ru//movie_28536/gone-with-the-wind,8.86
"Карты, деньги и два ствола",криминал,https://www.kinonews.ru//insimgs/poster/poster8550_5_prev.jpg,https://www.kinonews.ru//movie_10459/lock-stock-and-two-smoking-barrels,8.66
Тайна в его глазах,детектив,https://www.kinonews.ru//insimgs/poster/poster28015_1_p.jpg,https://www.kinonews.ru//movie_58156/el-secreto-de-sus-ojos,7.73
"""V"" значит Вендетта",боевик,https://www.kinonews.ru//insimgs/poster/poster4641_5_prev.jpg,https://www.kinonews.ru//movie_2989/v-for-vendetta,8.47
Головоломка,драма,https://www.kinonews.ru//insimgs/2015/poster/poster50998_2_p.jpg,https://www.kinonews.ru//movie_164455/inside-out,8.41
Бешеный бык,биографический,https://www.kinonews.ru//insimgs/poster/poster28683_4_p.jpg,https://www.kinonews.ru//movie_1640/raging-bull,8.70
"Три билборда на границе Эббинга, Миссури",криминал,https://www.kinonews.ru//insimgs/2017/poster/poster77229_3_p.jpg,https://www.kinonews.ru//movie_239941/three-billboards-outside-ebbing-missouri,8.70
На игле,драма,https://www.kinonews.ru//insimgs/poster/poster6109_4_prev.jpg,https://www.kinonews.ru//movie_2332/trainspotting,8.34
Мост через реку Квай,военный,https://www.kinonews.ru//insimgs/poster/poster10317_8_prev.jpg,https://www.kinonews.ru//movie_43929/the-bridge-on-the-river-kwai,8.43
Клаус,комедия,https://www.kinonews.ru//insimgs/2019/poster/poster89712_1_p.jpg,https://www.kinonews.ru//movie_280729/klaus,9.20
Фарго,драма,https://www.kinonews.ru//insimgs/poster/poster4106_2_prev.jpg,https://www.kinonews.ru//movie_11275/fargo,8.38
"Поймай меня, если сможешь",биографический,https://www.kinonews.ru//insimgs/poster/poster6469_3_prev.jpg,https://www.kinonews.ru//movie_451/catch-me-if-you-can,8.72
Человек-Паук 3: Нет пути домой,боевик,https://www.kinonews.ru//insimgs/2021/poster/poster103631_1_p.jpg,https://www.kinonews.ru//movie_286533/spider-man-3,8.05
Воин,боевик,https://www.kinonews.ru//insimgs/poster/poster16092_2_prev.jpg,https://www.kinonews.ru//movie_84774/warrior,8.38
Гран Торино,боевик,https://www.kinonews.ru//insimgs/poster/poster960_1_prev.jpg,https://www.kinonews.ru//movie_1532/gran-torino,8.91
Малышка на миллион,драма,https://www.kinonews.ru//insimgs/poster/poster3213_1_prev.jpg,https://www.kinonews.ru//movie_734/million-dollar-baby,8.80
Гарри Поттер и Дары смерти: Часть 2,детектив,https://www.kinonews.ru//insimgs/poster/poster14492_8_prev.jpg,https://www.kinonews.ru//movie_2975/harry-potter-and-the-deathly-hallows-part-ii,8.58
